feature,feature_name,check,tilde,cross,dash,applicable,pct_check,pct_check_or_tilde
F1,Discrete heritable string,27,5,14,0,46,58.7,64.1
F2,Duplication operator,20,8,18,0,46,43.5,52.2
F3,Deletion operator,27,5,14,0,46,58.7,64.1
F4,Selection on variants,23,13,10,0,46,50.0,64.1
F5,Power-law family-size distribution,21,18,7,0,46,45.7,65.2
F6,Balanced dup/del rates,16,8,6,16,30,53.3,66.7
F7,Positive innovation rate,21,10,15,0,46,45.7,56.5
F8,Conserved per-unit mutation rate (Drake K),10,11,2,23,23,43.5,67.4
F9,Error threshold / channel capacity,6,15,16,9,37,16.2,36.5
F10,Thermodynamic irreversibility,28,3,0,15,31,90.3,95.2
F12,Three or more fitness levels,27,10,9,0,46,58.7,69.6
F13,Simple-to-complex trajectory,19,10,17,0,46,41.3,52.2
F14,WGD insufficiency,6,2,0,38,8,75.0,87.5
